Position,Gross
TEACHER,"$123,772.83"
TEACHER,"$123,765.64"
INTERVENTION SPECIALIST; TEACHER,"$123,744.39"
ADMIN; DIRECTOR SERS,"$123,739.80"
INTERVENTION SPECIALIST; TEACHER,"$123,715.14"
TEACHER,"$123,683.25"
TEACHER,"$123,667.50"
TEACHER,"$123,608.36"
INTERVENTION SPECIALIST; TEACHER,"$123,601.64"
MATH SPECIALIST; TEACHER,"$123,574.50"
TEACHER,"$123,539.64"
TEACHER,"$123,523.00"
TEACHER,"$123,436.51"
TEACHER,"$123,435.14"
INTERVENTION SPECIALIST; TEACHER,"$123,433.36"
TEACHER,"$123,371.14"
TEACHER,"$123,368.00"
GUIDANCE COUNSELOR HS 200; TEACHER,"$123,360.78"
TEACHER,"$123,348.31"
EL SPECIALIST; TEACHER,"$123,323.14"
TEACHER,"$123,320.25"
TEACHER,"$123,278.36"
TEACHER,"$123,272.75"
TEACHER,"$123,213.00"
TEACHER,"$123,213.00"
TEACHER,"$123,180.25"
TEACHER,"$123,175.14"
INTERVENTION SPECIALIST; TEACHER,"$123,146.14"
TEACHER,"$123,135.50"
INTERVENTION SPECIALIST; TEACHER,"$123,100.00"
TEACHER,"$123,058.39"
TEACHER,"$123,058.00"
TEACHER,"$123,058.00"
INTERVENTION SPECIALIST; TEACHER,"$123,058.00"
TEACHER,"$123,058.00"
TEACHER,"$123,058.00"
TEACHER,"$122,943.64"
TEACHER,"$122,932.64"
TEACHER,"$122,915.47"
TEACHER,"$122,854.50"
INTERVENTION SPECIALIST; TEACHER,"$122,850.89"
TEACHER,"$122,844.25"
TEACHER,"$122,828.75"
GUIDANCE COUNSELOR MS 197; TEACHER,"$122,767.83"
TEACHER,"$122,660.00"
EL SPECIALIST; TEACHER,"$122,607.64"
MATH SPECIALIST; TEACHER,"$122,587.64"
TEACHER,"$122,551.14"
TEACHER,"$122,531.18"
CLAS-NON; NETWORK SPECIALIST,"$122,514.87"
TEACHER,"$122,491.75"
TEACHER,"$122,478.14"
TEACHER,"$122,384.56"
TEACHER,"$122,335.50"
TEACHER,"$122,323.89"
TEACHER,"$122,322.64"
TEACHER,"$122,287.64"
TEACHER,"$122,245.50"
TEACHER,"$122,230.14"
TEACHER,"$122,229.36"
TEACHER,"$122,196.04"
TEACHER,"$122,132.64"
TEACHER,"$122,130.22"
TEACHER,"$122,122.64"
TEACHER,"$122,081.36"
TEACHER,"$122,012.64"
LITERACY SPECIALIST; TEACHER,"$121,994.89"
TEACHER,"$121,977.64"
TEACHER,"$121,961.00"
TEACHER,"$121,958.93"
TEACHER,"$121,935.89"
TEACHER,"$121,924.81"
TEACHER,"$121,909.34"
TEACHER,"$121,900.14"
TEACHER,"$121,900.14"
